sample,elapsed_s,total_ms,decode_wait_ms,prepare_ms,submit_to_flip_ms,other_ms
374,3.234112,8.711,4.637,3.167,0.736,0.171
375,3.242514,8.848,4.567,3.418,0.648,0.215
376,3.250793,8.858,4.65,3.175,0.839,0.194
377,3.259043,8.908,4.674,3.09,0.9,0.244
378,3.267283,9.016,4.503,2.266,1.16,1.087
379,3.275727,8.919,4.629,3.438,0.685,0.167
380,3.284024,8.94,4.669,2.773,0.917,0.581
381,3.292455,8.93,4.62,3.5,0.614,0.196
382,3.301186,9.248,4.588,3.832,0.621,0.207
383,3.309617,9.195,4.841,2.454,0.89,1.01
384,3.317641,9.402,4.64,3.432,1.179,0.151
385,3.326288,9.086,4.546,3.049,1.186,0.305
386,3.334345,9.382,4.509,2.964,1.506,0.403
387,3.342884,9.141,4.616,3.243,1.158,0.124
388,3.353284,8.504,4.566,2.955,0.588,0.395
389,3.361358,8.77,4.471,3.087,0.938,0.274
390,3.369753,8.9,4.602,3.482,0.626,0.19
391,3.377934,9.101,4.759,3.241,0.864,0.237
392,3.386464,8.936,4.619,3.551,0.626,0.14
393,3.394889,8.854,4.78,3.153,0.718,0.203
394,3.40367,9.372,4.634,3.836,0.543,0.359
395,3.413221,8.531,4.565,3.132,0.566,0.268
396,3.421878,8.752,4.629,3.302,0.591,0.23
397,3.430334,8.58,4.564,2.998,0.629,0.389
398,3.438321,8.909,4.565,3.063,0.976,0.305
399,3.446318,9.225,4.578,3.01,1.3,0.337
400,3.455235,8.701,4.526,3.108,0.774,0.293
401,3.466121,8.574,4.61,3.134,0.585,0.245
402,3.475673,8.786,4.644,3.356,0.603,0.183
403,3.48411,8.651,4.665,3.037,0.637,0.312
404,3.492484,8.621,4.5,3.054,0.764,0.303
405,3.500715,8.709,4.575,3.382,0.612,0.14
406,3.508964,9.425,4.622,3.9,0.727,0.176
407,3.517356,9.503,4.949,2.044,1.056,1.454
408,3.525773,9.315,4.607,3.421,1.083,0.204
409,3.534178,9.238,4.613,2.994,1.23,0.401
410,3.542774,8.931,4.648,3.317,0.814,0.152
411,3.55083,9.324,4.943,3.069,0.923,0.389
